"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1366","should switch between login and signup forms @smoke @regression","firefox","Sun Aug 03 22:28:46 EDT 2025","passed","Sun Aug 03 22:28:47 EDT 2025","Application Tests","","",""
"","687","login with wrong password @regression","Mobile Chrome","Sun Aug 03 22:28:56 EDT 2025","passed","Sun Aug 03 22:28:56 EDT 2025","Application Tests","","",""
"","1617","password must be at least 8 characters @regression","firefox","Sun Aug 03 22:28:46 EDT 2025","passed","Sun Aug 03 22:28:48 EDT 2025","Application Tests","","",""
"","871","login & fetch key @smoke @regression","Mobile Chrome","Sun Aug 03 22:28:57 EDT 2025","passed","Sun Aug 03 22:28:58 EDT 2025","Application Tests","","",""
"","693","login with valid credentials @smoke @regression","Mobile Chrome","Sun Aug 03 22:28:55 EDT 2025","passed","Sun Aug 03 22:28:56 EDT 2025","Application Tests","","",""
"","683","password is required @regression","webkit","Sun Aug 03 22:28:51 EDT 2025","passed","Sun Aug 03 22:28:52 EDT 2025","Application Tests","","",""
"","0","expect rate limit exceeded for the login endpoint @destructive","firefox","Sun Aug 03 22:28:50 EDT 2025","skipped","Sun Aug 03 22:28:50 EDT 2025","API Tests","","",""
"","743","should switch between login and signup forms @smoke @regression","chromium","Sun Aug 03 22:29:45 EDT 2025","passed","Sun Aug 03 22:29:45 EDT 2025","Application Tests","","",""
"","400","login with wrong email @regression","Mobile Chrome","Sun Aug 03 22:28:56 EDT 2025","passed","Sun Aug 03 22:28:57 EDT 2025","Application Tests","","",""
"","25","full workflow @smoke @regression","firefox","Sun Aug 03 22:28:50 EDT 2025","failed","Sun Aug 03 22:28:50 EDT 2025","API Tests","","",""
"","781","login with wrong password @regression","chromium","Sun Aug 03 22:32:18 EDT 2025","passed","Sun Aug 03 22:32:19 EDT 2025","Application Tests","","",""
"","998","login & fetch key @smoke @regression","Mobile Safari","Sun Aug 03 22:29:00 EDT 2025","passed","Sun Aug 03 22:29:01 EDT 2025","Application Tests","","",""
"","527","login with wrong email @regression","chromium","Sun Aug 03 22:32:18 EDT 2025","passed","Sun Aug 03 22:32:19 EDT 2025","Application Tests","","",""
"","639","email is required @regression","chromium","Sun Aug 03 22:32:17 EDT 2025","passed","Sun Aug 03 22:32:18 EDT 2025","Application Tests","","",""
"","5342","register with an existing email @regression","Mobile Chrome","Sun Aug 03 22:28:54 EDT 2025","failed","Sun Aug 03 22:28:59 EDT 2025","Application Tests","","",""
"","1058","register with an existing email @regression","chromium","Sun Aug 03 22:32:17 EDT 2025","passed","Sun Aug 03 22:32:18 EDT 2025","Application Tests","","",""
